customerID,gender,SeniorCitizen,tenure,MonthlyCharges,Churn,revenue_segment,tenure_segment,churn_segment
7569-NMZYQ,Female,0,72,118.75,NO,1,Loyal,"Low Risk"
8984-HPEMB,Female,0,71,118.65,NO,1,Loyal,"Low Risk"
5989-AXPUC,Female,0,68,118.6,NO,1,Loyal,"Low Risk"
5734-EJKXG,Female,0,61,118.6,NO,1,Loyal,"Low Risk"
8199-ZLLSA,Male,0,67,118.35,YES,1,Loyal,"High Risk"
9924-JPRMC,Male,0,72,118.2,NO,1,Loyal,"Low Risk"
2889-FPWRM,Male,0,72,117.8,YES,1,Loyal,"High Risk"
3810-DVDQQ,Female,0,72,117.6,NO,1,Loyal,"Low Risk"
9739-JLPQJ,Female,0,72,117.5,NO,1,Loyal,"Low Risk"
2302-ANTDP,Female,1,48,117.45,YES,1,Loyal,"High Risk"
6904-JLBGY,Female,1,72,117.35,NO,1,Loyal,"Low Risk"
4282-MSACW,Male,0,68,117.2,NO,1,Loyal,"Low Risk"
6650-BWFRT,Female,0,72,117.15,NO,1,Loyal,"Low Risk"
9788-HNGUT,Male,0,72,116.95,NO,1,Loyal,"Low Risk"
1488-PBLJN,Female,0,72,116.85,NO,1,Loyal,"Low Risk"
0017-IUDMW,Female,0,72,116.8,NO,1,Loyal,"Low Risk"
8628-MFKAX,Female,1,72,116.75,NO,1,Loyal,"Low Risk"
3680-CTHUH,Male,0,60,116.6,NO,1,Loyal,"Low Risk"
3258-ZKPAI,Male,0,72,116.6,NO,1,Loyal,"Low Risk"
3795-CAWEX,Male,0,70,116.55,NO,1,Loyal,"Low Risk"
8016-NCFVO,Male,1,55,116.5,NO,1,Loyal,"Low Risk"
3963-RYFNS,Female,0,72,116.45,NO,1,Loyal,"Low Risk"
0675-NCDYU,Female,0,72,116.4,NO,1,Loyal,"Low Risk"
0186-CAERR,Male,0,71,116.3,NO,1,Loyal,"Low Risk"
4868-AADLV,Male,1,66,116.25,NO,1,Loyal,"Low Risk"
4374-YMUSQ,Male,0,34,116.25,NO,1,Established,"Low Risk"
8879-XUAHX,Male,0,71,116.25,NO,1,Loyal,"Low Risk"
9053-JZFKV,Male,0,67,116.2,YES,1,Loyal,"High Risk"
9695-IDRZR,Female,0,34,116.15,NO,1,Established,"Low Risk"
8975-SKGRX,Male,0,71,116.1,NO,1,Loyal,"Low Risk"
7923-IYJWY,Male,1,67,116.1,NO,1,Loyal,"Low Risk"
1480-BKXGA,Male,1,72,116.05,NO,1,Loyal,"Low Risk"
2223-GDSHL,Male,0,71,116.05,NO,1,Loyal,"Low Risk"
8261-GWDBQ,Female,1,60,116.05,NO,1,Loyal,"Low Risk"
0106-UGRDO,Female,0,69,116,NO,1,Loyal,"Low Risk"
1741-WTPON,Male,0,56,115.85,NO,1,Loyal,"Low Risk"
5914-XRFQB,Male,0,72,115.8,NO,1,Loyal,"Low Risk"
8513-OLYGY,Male,0,72,115.8,NO,1,Loyal,"Low Risk"
0052-DCKON,Male,0,66,115.8,NO,1,Loyal,"Low Risk"
6007-TCTST,Female,0,72,115.8,NO,1,Loyal,"Low Risk"
8606-CIQUL,Male,1,72,115.75,NO,1,Loyal,"Low Risk"
5451-YHYPW,Female,1,72,115.75,NO,1,Loyal,"Low Risk"
9659-QEQSY,Female,0,45,115.65,NO,1,Loyal,"Low Risk"
1444-VVSGW,Male,0,70,115.65,YES,1,Loyal,"High Risk"
0442-ZXKVS,Female,1,54,115.6,NO,1,Loyal,"Low Risk"
1352-HNSAW,Female,0,72,115.6,NO,1,Loyal,"Low Risk"
8480-PPONV,Male,0,62,115.55,NO,1,Loyal,"Low Risk"
0201-OAMXR,Female,0,70,115.55,YES,1,Loyal,"High Risk"
8263-QMNTJ,Male,0,72,115.55,NO,1,Loyal,"Low Risk"
2121-JAFOM,Female,0,72,115.55,NO,1,Loyal,"Low Risk"
8015-IHCGW,Female,0,72,115.5,NO,1,Loyal,"Low Risk"
9298-WGMRW,Female,0,72,115.5,NO,1,Loyal,"Low Risk"
3882-IYOIJ,Female,0,60,115.25,NO,1,Loyal,"Low Risk"
3669-WHAFY,Female,0,71,115.15,NO,1,Loyal,"Low Risk"
0906-QVPMS,Male,0,72,115.15,NO,1,Loyal,"Low Risk"
3396-DKDEL,Female,0,70,115.15,NO,1,Loyal,"Low Risk"
2380-DAMQP,Female,0,72,115.15,NO,1,Loyal,"Low Risk"
3642-GKTCT,Female,0,61,115.1,NO,1,Loyal,"Low Risk"
7017-VFHAY,Female,0,61,115.1,NO,1,Loyal,"Low Risk"
8869-LIHMK,Female,0,64,115.1,NO,1,Loyal,"Low Risk"
1557-EMYVT,Female,0,43,115.05,NO,1,Loyal,"Low Risk"
8894-JVDCV,Female,0,62,115.05,NO,1,Loyal,"Low Risk"
8454-AATJP,Female,0,72,115.05,NO,1,Loyal,"Low Risk"
8029-XYPWT,Male,1,71,115.05,NO,1,Loyal,"Low Risk"
1229-RCALF,Female,0,64,115,NO,1,Loyal,"Low Risk"
6919-ELBGL,Male,1,72,114.95,NO,1,Loyal,"Low Risk"
7176-WRTNX,Male,0,70,114.95,NO,1,Loyal,"Low Risk"
4304-TSPVK,Female,0,68,114.9,NO,1,Loyal,"Low Risk"
0164-APGRB,Female,0,72,114.9,NO,1,Loyal,"Low Risk"
2388-LAESQ,Female,1,72,114.85,NO,1,Loyal,"Low Risk"
4393-GEADV,Male,0,70,114.75,NO,1,Loyal,"Low Risk"
6445-TNRXS,Male,0,68,114.7,NO,1,Loyal,"Low Risk"
0206-TBWLC,Female,0,54,114.65,NO,1,Loyal,"Low Risk"
1779-PWPMG,Female,1,72,114.65,NO,1,Loyal,"Low Risk"
5322-TEUJK,Female,0,71,114.6,NO,1,Loyal,"Low Risk"
0530-IJVDB,Male,0,70,114.6,NO,1,Loyal,"Low Risk"
8207-DMRVL,Male,0,72,114.55,NO,1,Loyal,"Low Risk"
4361-BKAXE,Female,0,41,114.5,YES,1,Loyal,"High Risk"
5135-GRQJV,Male,1,72,114.5,NO,1,Loyal,"Low Risk"
7359-WWYJV,Male,0,72,114.45,NO,1,Loyal,"Low Risk"
2040-XBAVJ,Male,0,72,114.45,NO,1,Loyal,"Low Risk"
6655-LHBYW,Male,0,50,114.35,NO,1,Loyal,"Low Risk"
5375-XLDOF,Male,0,69,114.35,NO,1,Loyal,"Low Risk"
7929-SKFGK,Male,0,70,114.3,NO,1,Loyal,"Low Risk"
0266-GMEAO,Male,0,72,114.3,NO,1,Loyal,"Low Risk"
9896-UYMIE,Male,0,66,114.3,NO,1,Loyal,"Low Risk"
1555-DJEQW,Female,0,70,114.2,YES,1,Loyal,"High Risk"
9637-CDTKZ,Male,0,72,114.1,NO,1,Loyal,"Low Risk"
6710-HSJRD,Male,0,61,114.1,NO,1,Loyal,"Low Risk"
4376-KFVRS,Male,0,72,114.05,NO,1,Loyal,"Low Risk"
3892-NXAZG,Male,0,72,114.05,NO,1,Loyal,"Low Risk"
3726-TBHQT,Male,0,71,114,NO,1,Loyal,"Low Risk"
9127-FHJBZ,Male,0,72,114,NO,1,Loyal,"Low Risk"
8085-MSNLK,Female,0,62,113.95,NO,1,Loyal,"Low Risk"
3258-SYSWS,Male,1,72,113.8,NO,1,Loyal,"Low Risk"
7663-CUXZB,Male,0,59,113.75,NO,1,Loyal,"Low Risk"
9239-GZHZE,Female,0,72,113.65,NO,1,Loyal,"Low Risk"
5038-ETMLM,Female,0,72,113.65,NO,1,Loyal,"Low Risk"
4806-DXQCE,Female,1,70,113.65,NO,1,Loyal,"Low Risk"
2368-GAKKQ,Female,0,70,113.65,NO,1,Loyal,"Low Risk"
9258-CNWAC,Female,0,71,113.65,NO,1,Loyal,"Low Risk"
9158-VCTQB,Female,0,41,113.6,YES,1,Loyal,"High Risk"
7740-BTPUX,Male,1,55,113.6,NO,1,Loyal,"Low Risk"
9746-MDMBK,Male,0,47,113.45,NO,1,Loyal,"Low Risk"
8670-ERCJH,Male,0,72,113.4,NO,1,Loyal,"Low Risk"
0864-FVJNJ,Female,0,64,113.35,NO,1,Loyal,"Low Risk"
1950-KSVVJ,Female,0,45,113.3,NO,1,Loyal,"Low Risk"
3655-SNQYZ,Female,0,69,113.25,NO,1,Loyal,"Low Risk"
7279-BUYWN,Female,1,41,113.2,YES,1,Loyal,"High Risk"
9786-IJYDL,Female,0,35,113.2,NO,1,Established,"Low Risk"
1043-UXOVO,Female,0,71,113.15,NO,1,Loyal,"Low Risk"
9475-NNDGC,Male,0,71,113.15,NO,1,Loyal,"Low Risk"
5271-YNWVR,Male,0,68,113.15,YES,1,Loyal,"High Risk"
6859-QNXIQ,Female,0,72,113.1,NO,1,Loyal,"Low Risk"
3870-SPZSI,Female,0,70,113.05,NO,1,Loyal,"Low Risk"
0907-HQNTS,Female,1,70,113,NO,1,Loyal,"Low Risk"
0771-WLCLA,Female,0,16,112.95,NO,1,Established,"Low Risk"
1583-IHQZE,Male,0,12,112.95,YES,1,Established,"High Risk"
5236-PERKL,Female,0,57,112.95,YES,1,Loyal,"High Risk"
9481-IEBZY,Male,1,72,112.9,NO,1,Loyal,"Low Risk"
5183-KLYEM,Female,0,72,112.75,NO,1,Loyal,"Low Risk"
3520-FJGCV,Male,0,72,112.6,NO,1,Loyal,"Low Risk"
6993-YGFJV,Male,0,69,112.55,NO,1,Loyal,"Low Risk"
4829-ZLJTK,Female,1,72,112.4,NO,1,Loyal,"Low Risk"
